message,severity,attributes,tags,timestamp
> NODE_ENV=production node dist/seed.cjs,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:57.902360315Z
,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:57.902365115Z
Seeding database with realistic healthcare data...,info,"{""level"":""info""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.011180538Z
},error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127755221Z
"  internalQuery: undefined,",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127808848Z
"  where: undefined,",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127817431Z
"  schema: undefined,",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127821514Z
"  table: undefined,",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127825210Z
"  column: undefined,",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127828420Z
"  dataType: undefined,",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127831705Z
"  constraint: undefined,",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127835716Z
"  file: 'parse_relation.c',",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127839286Z
"  line: '3716',",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127842548Z
  routine: 'errorMissingColumn',error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127845778Z
"error: column ""created_at"" does not exist",error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127848417Z
    at /app/dist/seed.cjs:2:13326,error,"{""level"":""error""}","{""project"":""0ad60bfe-d38f-419f-b5a7-2507ff81ac8a"",""environment"":""e7ab44e1-725d-4386-9352-fdda456dc6c9"",""service"":""9dd1802e-d085-4123-a906-33985780c95e"",""deployment"":""496743fb-83da-4845-8865-be40b3151473"",""replica"":""8f26ace9-e3d3-4f4a-92cc-869ae28b9983""}",2026-04-06T22:32:58.127852294Z
