activity_logs	activity_logs_pkey	t	t	CREATE UNIQUE INDEX activity_logs_pkey ON public.activity_logs USING btree (id)
activity_logs	idx_activity_logs_claim_id	f	f	CREATE INDEX idx_activity_logs_claim_id ON public.activity_logs USING btree (claim_id)
activity_logs	idx_activity_logs_created_at	f	f	CREATE INDEX idx_activity_logs_created_at ON public.activity_logs USING btree (created_at)
activity_logs	idx_activity_logs_org	f	f	CREATE INDEX idx_activity_logs_org ON public.activity_logs USING btree (organization_id)
activity_logs	idx_activity_logs_patient_id	f	f	CREATE INDEX idx_activity_logs_patient_id ON public.activity_logs USING btree (patient_id)
appointments	appointments_pkey	t	t	CREATE UNIQUE INDEX appointments_pkey ON public.appointments USING btree (id)
appointments	idx_appointments_org	f	f	CREATE INDEX idx_appointments_org ON public.appointments USING btree (organization_id)
availability_slots	availability_slots_pkey	t	t	CREATE UNIQUE INDEX availability_slots_pkey ON public.availability_slots USING btree (id)
availability_slots	idx_availability_slots_org	f	f	CREATE INDEX idx_availability_slots_org ON public.availability_slots USING btree (organization_id)
calls	calls_pkey	t	t	CREATE UNIQUE INDEX calls_pkey ON public.calls USING btree (id)
calls	idx_calls_org	f	f	CREATE INDEX idx_calls_org ON public.calls USING btree (organization_id)
carc_codes	carc_codes_code_key	t	f	CREATE UNIQUE INDEX carc_codes_code_key ON public.carc_codes USING btree (code)
carc_codes	carc_codes_pkey	t	t	CREATE UNIQUE INDEX carc_codes_pkey ON public.carc_codes USING btree (id)
carc_posting_rules	carc_posting_rules_carc_code_key	t	f	CREATE UNIQUE INDEX carc_posting_rules_carc_code_key ON public.carc_posting_rules USING btree (carc_code)
carc_posting_rules	carc_posting_rules_pkey	t	t	CREATE UNIQUE INDEX carc_posting_rules_pkey ON public.carc_posting_rules USING btree (id)
cci_edits	cci_edits_column_1_code_column_2_code_effective_date_ncci_v_key	t	f	CREATE UNIQUE INDEX cci_edits_column_1_code_column_2_code_effective_date_ncci_v_key ON public.cci_edits USING btree (column_1_code, column_2_code, effective_date, ncci_version)
cci_edits	cci_edits_pkey	t	t	CREATE UNIQUE INDEX cci_edits_pkey ON public.cci_edits USING btree (id)
cci_edits	idx_cci_edits_active	f	f	CREATE INDEX idx_cci_edits_active ON public.cci_edits USING btree (column_1_code, column_2_code) WHERE (deletion_date IS NULL)
cci_edits	idx_cci_edits_column_1	f	f	CREATE INDEX idx_cci_edits_column_1 ON public.cci_edits USING btree (column_1_code)
cci_edits	idx_cci_edits_column_2	f	f	CREATE INDEX idx_cci_edits_column_2 ON public.cci_edits USING btree (column_2_code)
chat_analytics	chat_analytics_pkey	t	t	CREATE UNIQUE INDEX chat_analytics_pkey ON public.chat_analytics USING btree (id)
chat_analytics	idx_chat_analytics_org	f	f	CREATE INDEX idx_chat_analytics_org ON public.chat_analytics USING btree (organization_id)
chat_messages	chat_messages_pkey	t	t	CREATE UNIQUE INDEX chat_messages_pkey ON public.chat_messages USING btree (id)
chat_messages	idx_chat_messages_org	f	f	CREATE INDEX idx_chat_messages_org ON public.chat_messages USING btree (organization_id)
chat_sessions	chat_sessions_pkey	t	t	CREATE UNIQUE INDEX chat_sessions_pkey ON public.chat_sessions USING btree (id)
chat_sessions	idx_chat_sessions_org	f	f	CREATE INDEX idx_chat_sessions_org ON public.chat_sessions USING btree (organization_id)
claim_events	claim_events_pkey	t	t	CREATE UNIQUE INDEX claim_events_pkey ON public.claim_events USING btree (id)
claim_events	idx_claim_events_claim_id	f	f	CREATE INDEX idx_claim_events_claim_id ON public.claim_events USING btree (claim_id)
claim_events	idx_claim_events_org	f	f	CREATE INDEX idx_claim_events_org ON public.claim_events USING btree (organization_id)
claim_follow_up_notes	claim_follow_up_notes_pkey	t	t	CREATE UNIQUE INDEX claim_follow_up_notes_pkey ON public.claim_follow_up_notes USING btree (id)
claim_follow_up_notes	idx_follow_up_notes_claim	f	f	CREATE INDEX idx_follow_up_notes_claim ON public.claim_follow_up_notes USING btree (claim_id)
claim_templates	claim_templates_pkey	t	t	CREATE UNIQUE INDEX claim_templates_pkey ON public.claim_templates USING btree (id)
claim_templates	idx_claim_templates_org	f	f	CREATE INDEX idx_claim_templates_org ON public.claim_templates USING btree (organization_id)
claims	claims_pkey	t	t	CREATE UNIQUE INDEX claims_pkey ON public.claims USING btree (id)
claims	idx_claims_archived	f	f	CREATE INDEX idx_claims_archived ON public.claims USING btree (organization_id) WHERE (archived_at IS NULL)
claims	idx_claims_created_at	f	f	CREATE INDEX idx_claims_created_at ON public.claims USING btree (created_at)
claims	idx_claims_org	f	f	CREATE INDEX idx_claims_org ON public.claims USING btree (organization_id)
claims	idx_claims_patient_id	f	f	CREATE INDEX idx_claims_patient_id ON public.claims USING btree (patient_id)
claims	idx_claims_payer	f	f	CREATE INDEX idx_claims_payer ON public.claims USING btree (payer)
claims	idx_claims_service_date	f	f	CREATE INDEX idx_claims_service_date ON public.claims USING btree (service_date)
claims	idx_claims_status	f	f	CREATE INDEX idx_claims_status ON public.claims USING btree (status)
cms_gpci	cms_gpci_mac_carrier_locality_code_effective_date_pfs_year_key	t	f	CREATE UNIQUE INDEX cms_gpci_mac_carrier_locality_code_effective_date_pfs_year_key ON public.cms_gpci USING btree (mac_carrier, locality_code, effective_date, pfs_year)
cms_gpci	cms_gpci_pkey	t	t	CREATE UNIQUE INDEX cms_gpci_pkey ON public.cms_gpci USING btree (id)
cms_gpci	idx_gpci_locality	f	f	CREATE INDEX idx_gpci_locality ON public.cms_gpci USING btree (mac_carrier, locality_code)
cms_gpci	idx_gpci_state	f	f	CREATE INDEX idx_gpci_state ON public.cms_gpci USING btree (state)
cms_locality_county	cms_locality_county_mac_carrier_locality_code_pfs_year_key	t	f	CREATE UNIQUE INDEX cms_locality_county_mac_carrier_locality_code_pfs_year_key ON public.cms_locality_county USING btree (mac_carrier, locality_code, pfs_year)
cms_locality_county	cms_locality_county_pkey	t	t	CREATE UNIQUE INDEX cms_locality_county_pkey ON public.cms_locality_county USING btree (id)
cms_pfs_rvu	cms_pfs_rvu_hcpcs_code_modifier_effective_date_pfs_year_key	t	f	CREATE UNIQUE INDEX cms_pfs_rvu_hcpcs_code_modifier_effective_date_pfs_year_key ON public.cms_pfs_rvu USING btree (hcpcs_code, modifier, effective_date, pfs_year)
cms_pfs_rvu	cms_pfs_rvu_pkey	t	t	CREATE UNIQUE INDEX cms_pfs_rvu_pkey ON public.cms_pfs_rvu USING btree (id)
cms_pfs_rvu	idx_pfs_rvu_code	f	f	CREATE INDEX idx_pfs_rvu_code ON public.cms_pfs_rvu USING btree (hcpcs_code)
cms_pfs_rvu	idx_pfs_rvu_year	f	f	CREATE INDEX idx_pfs_rvu_year ON public.cms_pfs_rvu USING btree (pfs_year)
cms_zip_locality	cms_zip_locality_pkey	t	t	CREATE UNIQUE INDEX cms_zip_locality_pkey ON public.cms_zip_locality USING btree (id)
cms_zip_locality	cms_zip_locality_zip_code_effective_date_key	t	f	CREATE UNIQUE INDEX cms_zip_locality_zip_code_effective_date_key ON public.cms_zip_locality USING btree (zip_code, effective_date)
