carc_codes	carc_codes_code_key	code
carc_posting_rules	carc_posting_rules_carc_code_key	carc_code
cci_edits	cci_edits_column_1_code_column_2_code_effective_date_ncci_v_key	column_1_code,column_2_code,effective_date,ncci_version
cms_gpci	cms_gpci_mac_carrier_locality_code_effective_date_pfs_year_key	mac_carrier,locality_code,effective_date,pfs_year
cms_locality_county	cms_locality_county_mac_carrier_locality_code_pfs_year_key	mac_carrier,locality_code,pfs_year
cms_pfs_rvu	cms_pfs_rvu_hcpcs_code_modifier_effective_date_pfs_year_key	hcpcs_code,modifier,effective_date,pfs_year
cms_zip_locality	cms_zip_locality_zip_code_effective_date_key	zip_code,effective_date
cpt_codes	cpt_codes_code_key	code
hcpcs_codes	hcpcs_codes_code_key	code
icd10_codes	icd10_codes_code_key	code
org_lead_sources	org_lead_sources_organization_id_slug_key	organization_id,slug
org_message_templates	org_message_templates_organization_id_template_key_channel_key	organization_id,template_key,channel
org_service_types	org_service_types_organization_id_service_code_key	organization_id,service_code
org_voice_personas	org_voice_personas_organization_id_persona_key_key	organization_id,persona_key
payer_delegated_entities	payer_delegated_entities_payer_id_delegated_entity_id_plan__key	payer_id,delegated_entity_id,plan_product_code,state
pos_codes	pos_codes_code_key	code
practice_payer_enrollments	practice_payer_enrollments_organization_id_payer_id_plan_pr_key	organization_id,payer_id,plan_product_code
rarc_codes	rarc_codes_code_key	code
role_permissions	role_permissions_role_resource_key	role,resource
taxonomy_codes	taxonomy_codes_code_key	code
timely_filing_alerts	timely_filing_alerts_claim_id_alert_status_key	claim_id,alert_status
users	users_email_unique	email
va_fee_schedule	va_fee_schedule_hcpcs_code_modifier_schedule_type_geographi_key	hcpcs_code,modifier,schedule_type,geographic_scope,effective_date,fee_schedule_year
va_location_rates	va_location_rates_hcpcs_code_location_name_carrier_locality_key	hcpcs_code,location_name,carrier,locality_code
