activity_logs	1	id	character varying		NO	gen_random_uuid()
activity_logs	2	lead_id	character varying		YES	
activity_logs	3	activity_type	text		NO	
activity_logs	4	field	text		YES	
activity_logs	5	old_value	text		YES	
activity_logs	6	new_value	text		YES	
activity_logs	7	description	text		YES	
activity_logs	8	metadata	jsonb		YES	'{}'::jsonb
activity_logs	9	performed_by	text		YES	
activity_logs	10	created_at	timestamp without time zone		NO	now()
activity_logs	11	claim_id	character varying		YES	
activity_logs	12	patient_id	character varying		YES	
activity_logs	13	organization_id	character varying		YES	
appointments	1	id	character varying		NO	gen_random_uuid()
appointments	2	lead_id	character varying		NO	
appointments	3	title	text		NO	
appointments	4	description	text		YES	
appointments	5	scheduled_at	timestamp without time zone		NO	
appointments	6	duration	integer		NO	30
appointments	7	timezone	text		NO	'America/Chicago'::text
appointments	8	status	text		NO	'scheduled'::text
appointments	9	reminder_sent	boolean		NO	false
appointments	10	confirmed_at	timestamp without time zone		YES	
appointments	11	cancelled_at	timestamp without time zone		YES	
appointments	12	cancel_reason	text		YES	
appointments	13	notes	text		YES	
appointments	14	created_at	timestamp without time zone		NO	now()
appointments	15	organization_id	character varying		YES	
availability_slots	1	id	character varying		NO	gen_random_uuid()
availability_slots	2	day_of_week	integer		NO	
availability_slots	3	start_time	text		NO	
availability_slots	4	end_time	text		NO	
availability_slots	5	timezone	text		NO	'America/Chicago'::text
availability_slots	6	enabled	boolean		NO	true
availability_slots	7	organization_id	character varying		YES	
calls	1	id	character varying		NO	gen_random_uuid()
calls	2	lead_id	character varying		NO	
calls	3	vapi_call_id	text		YES	
calls	4	transcript	text		NO	
calls	5	summary	text		NO	
calls	6	disposition	text		NO	
calls	7	extracted_data	jsonb		YES	
calls	8	created_at	timestamp without time zone		NO	now()
calls	9	notes	text		YES	
calls	10	duration	integer		YES	
calls	11	vob_data	jsonb		YES	
calls	12	recording_url	text		YES	
calls	13	organization_id	character varying		YES	
carc_codes	1	id	integer		NO	nextval('carc_codes_id_seq'::regclass)
carc_codes	2	code	character varying	10	NO	
carc_codes	3	description	text		NO	
carc_codes	4	group_codes	character varying	50	NO	'CO'::character varying
carc_posting_rules	1	id	integer		NO	nextval('carc_posting_rules_id_seq'::regclass)
carc_posting_rules	2	carc_code	character varying		NO	
carc_posting_rules	3	description	text		YES	
carc_posting_rules	4	default_action	character varying		NO	
carc_posting_rules	5	group_code	character varying		YES	
carc_posting_rules	6	is_active	boolean		YES	true
carc_posting_rules	7	created_at	timestamp without time zone		YES	now()
cci_edits	1	id	uuid		NO	gen_random_uuid()
cci_edits	2	column_1_code	text		NO	
cci_edits	3	column_2_code	text		NO	
cci_edits	4	modifier_indicator	text		NO	
cci_edits	5	effective_date	date		NO	
cci_edits	6	deletion_date	date		YES	
cci_edits	7	ptp_edit_rationale	text		YES	
